// AAEMU
// Database file
// 
// Values: monsterId, className, name, level, exp, classExp, hp, defense
//---------------------------------------------------------------------------

[
// Doodads
//---------------------------------------------------------------------------
{ doodadId: 272, className: "Напр.: Таймер", name: "Напр.: Таймер" },
{ doodadId: 274, className: "Напр.: Изготовление", name: "Напр.: Изготовление" },
{ doodadId: 279, className: "Напр.: Основа", name: "Напр.: Основа" },
{ doodadId: 280, className: "Напр.: Высокогорное бобовое дерево", name: "Напр.: Высокогорное бобовое дерево" },
{ doodadId: 281, className: "Лестница", name: "Лестница" },
{ doodadId: 282, className: "Веревка", name: "Веревка" },
{ doodadId: 283, className: "Веревка", name: "Веревка" },
{ doodadId: 284, className: "Высокое дерево", name: "Высокое дерево" },
{ doodadId: 285, className: "Влезть на пробковое дерево", name: "Влезть на пробковое дерево" },
{ doodadId: 288, className: "QA горное дело", name: "QA горное дело" },
{ doodadId: 291, className: "Напр.: Изготовление", name: "Напр.: Изготовление" },
{ doodadId: 293, className: "Район перистых облаков", name: "Район перистых облаков" },
{ doodadId: 294, className: "QA настройки возврата", name: "QA настройки возврата" },
{ doodadId: 299, className: "QA чувство голода/накормить", name: "QA чувство голода/накормить" },
{ doodadId: 300, className: "QA последний", name: "QA последний" },
{ doodadId: 301, className: "QA мясная лавка", name: "QA мясная лавка" },
{ doodadId: 302, className: "QA использовать", name: "QA использовать" },
{ doodadId: 303, className: "Влезть на пробковое дерево", name: "Влезть на пробковое дерево" },
{ doodadId: 305, className: "QA разрушение/необходимый предмет", name: "QA разрушение/необходимый предмет" },
{ doodadId: 307, className: "QA стрижка меха", name: "QA стрижка меха" },
{ doodadId: 308, className: "QA задание", name: "QA задание" },
{ doodadId: 309, className: "QA сбор урожая риса", name: "QA сбор урожая риса" },
{ doodadId: 310, className: "QA обычный предмет", name: "QA обычный предмет" },
{ doodadId: 311, className: "QA сборка урожая", name: "QA сборка урожая" },
{ doodadId: 312, className: "QA обязательное задание", name: "QA обязательное задание" },
{ doodadId: 313, className: "Пыль от очистки", name: "Пыль от очистки" },
{ doodadId: 315, className: "Лестница", name: "Лестница" },
{ doodadId: 317, className: "Тест_быстрорастущее дерево", name: "Тест_быстрорастущее дерево" },
{ doodadId: 318, className: "test_быстро вырастить_срубить_отползти_посмотреть на падение", name: "test_быстро вырастить_срубить_отползти_посмотреть на падение" },
{ doodadId: 319, className: "test_растения", name: "test_растения" },
{ doodadId: 320, className: "Почтовый ящик", name: "Почтовый ящик" },
{ doodadId: 321, className: "test_посмотреть только на падение", name: "test_посмотреть только на падение" },
{ doodadId: 322, className: "Секвойя", name: "Секвойя" },
{ doodadId: 323, className: "Сеть", name: "Сеть" },
{ doodadId: 324, className: "test_посмотреть на сбор растений", name: "test_посмотреть на сбор растений" },
{ doodadId: 332, className: "Взрыхленная улитками почва", name: "Взрыхленная улитками почва" },
{ doodadId: 333, className: "Дикий виноград", name: "Дикий виноград" },
{ doodadId: 367, className: "Ель", name: "Ель" },
{ doodadId: 368, className: "Шиповатая пальма (не завершено)", name: "Шиповатая пальма (не завершено)" },
{ doodadId: 369, className: "Гевея", name: "Гевея" },
{ doodadId: 370, className: "Лиственница", name: "Лиственница" },
{ doodadId: 371, className: "Бук", name: "Бук" },
{ doodadId: 372, className: "Камфорное дерево", name: "Камфорное дерево" },
{ doodadId: 373, className: "Бамбук", name: "Бамбук" },
{ doodadId: 374, className: "Финиковая пальма", name: "Финиковая пальма" },
{ doodadId: 375, className: "Эбеновое дерево", name: "Эбеновое дерево" },
{ doodadId: 376, className: "Дуб", name: "Дуб" },
{ doodadId: 377, className: "Лимонное дерево", name: "Лимонное дерево" },
{ doodadId: 378, className: "Испражнения сокола", name: "Испражнения сокола" },
{ doodadId: 379, className: "Тест предмета для вызова раба", name: "Тест предмета для вызова раба" },
{ doodadId: 380, className: "Фиговое дерево", name: "Фиговое дерево" },
{ doodadId: 381, className: "Ясень", name: "Ясень" },
{ doodadId: 382, className: "Банановое дерево", name: "Банановое дерево" },
{ doodadId: 383, className: "Баобаб", name: "Баобаб" },
{ doodadId: 384, className: "Каштановое дерево", name: "Каштановое дерево" },
{ doodadId: 385, className: "Кедр", name: "Кедр" },
{ doodadId: 386, className: "Ива", name: "Ива" },
{ doodadId: 387, className: "Вишневое дерево", name: "Вишневое дерево" },
{ doodadId: 388, className: "Белокорая пихта", name: "Белокорая пихта" },
{ doodadId: 389, className: "Хлебное дерево (не установлено)", name: "Хлебное дерево (не установлено)" },
{ doodadId: 390, className: "Тутовое дерево (не установлено)", name: "Тутовое дерево (не установлено)" },
{ doodadId: 391, className: "Сапотовое дерево (не установлено)", name: "Сапотовое дерево (не установлено)" },
{ doodadId: 392, className: "Абрикосовое дерево", name: "Абрикосовое дерево" },
{ doodadId: 393, className: "Криптомерия", name: "Криптомерия" },
{ doodadId: 394, className: "Белый бук", name: "Белый бук" },
{ doodadId: 395, className: "Гранатовое дерево", name: "Гранатовое дерево" },
{ doodadId: 396, className: "Хлопковое дерево (не установлено)", name: "Хлопковое дерево (не установлено)" },
{ doodadId: 397, className: "Снежноягодник (не установлено)", name: "Снежноягодник (не установлено)" },
{ doodadId: 398, className: "Сосна", name: "Сосна" },
{ doodadId: 399, className: "Дерево авокадо", name: "Дерево авокадо" },
{ doodadId: 400, className: "Кокосовая пальма", name: "Кокосовая пальма" },
{ doodadId: 401, className: "Адамово дерево (не установлено)", name: "Адамово дерево (не установлено)" },
{ doodadId: 402, className: "Апельсиновое дерево", name: "Апельсиновое дерево" },
{ doodadId: 403, className: "Оливковое дерево", name: "Оливковое дерево" },
{ doodadId: 404, className: "Лавровое дерево", name: "Лавровое дерево" },
{ doodadId: 405, className: "Осина", name: "Осина" },
{ doodadId: 406, className: "Гинкго", name: "Гинкго" },
{ doodadId: 407, className: "Береза", name: "Береза" },
{ doodadId: 408, className: "Тис", name: "Тис" },
{ doodadId: 409, className: "Чайный куст (не установлено)", name: "Чайный куст (не установлено)" },
{ doodadId: 410, className: "Кофейное дерево (не установлено)", name: "Кофейное дерево (не установлено)" },
{ doodadId: 411, className: "Бамбуковая ловушка", name: "Бамбуковая ловушка" },
{ doodadId: 412, className: "Пробковый дуб", name: "Пробковый дуб" },
{ doodadId: 413, className: "Виноградный куст", name: "Виноградный куст" },
{ doodadId: 414, className: "Тополь", name: "Тополь" },
{ doodadId: 418, className: "Горчичный куст", name: "Горчичный куст" },
{ doodadId: 419, className: "Мелкий кустарник", name: "Мелкий кустарник" },
{ doodadId: 424, className: "Облачная хризантема", name: "Облачная хризантема" },
{ doodadId: 432, className: "Полевая земляника", name: "Полевая земляника" },
{ doodadId: 436, className: "Раувольфия", name: "Раувольфия" },
{ doodadId: 438, className: "Лачафрок", name: "Лачафрок" },
{ doodadId: 439, className: "Розовый рододендрон", name: "Розовый рододендрон" },
{ doodadId: 441, className: "Ма", name: "Ма" },
{ doodadId: 443, className: "Пион", name: "Пион" },
{ doodadId: 444, className: "Дерево моринги", name: "Дерево моринги" },
{ doodadId: 445, className: "Люцерна", name: "Люцерна" },
{ doodadId: 446, className: "Хлопок", name: "Хлопок" },
{ doodadId: 447, className: "Герань", name: "Герань" },
{ doodadId: 450, className: "Стручок ванили", name: "Стручок ванили" },
{ doodadId: 451, className: "Гречка", name: "Гречка" },
{ doodadId: 453, className: "Грибы", name: "Грибы" },
{ doodadId: 454, className: "Медвежья трава", name: "Медвежья трава" },
{ doodadId: 455, className: "Рис", name: "Рис" },
{ doodadId: 457, className: "Бальзамин садовый", name: "Бальзамин садовый" },
{ doodadId: 459, className: "Лук-резанец", name: "Лук-резанец" },
{ doodadId: 460, className: "Заросли кустарника", name: "Заросли кустарника" },
{ doodadId: 461, className: "Черника", name: "Черника" },
{ doodadId: 462, className: "Сахарный тростник", name: "Сахарный тростник" },
{ doodadId: 464, className: "Сансевьера", name: "Сансевьера" },
{ doodadId: 465, className: "Имбирь", name: "Имбирь" },
{ doodadId: 466, className: "Заросли сорняка", name: "Заросли сорняка" },
{ doodadId: 468, className: "Быстро растущий кустарник", name: "Быстро растущий кустарник" },
{ doodadId: 469, className: "Цикас", name: "Цикас" },
{ doodadId: 470, className: "Суданская трава", name: "Суданская трава" },
{ doodadId: 473, className: "Сорго", name: "Сорго" },
{ doodadId: 475, className: "Полынь", name: "Полынь" },
{ doodadId: 476, className: "Анис", name: "Анис" },
{ doodadId: 477, className: "Может быть", name: "Может быть" },
{ doodadId: 481, className: "Дубильный орех", name: "Дубильный орех" },
{ doodadId: 484, className: "Уксус из ахирантеса", name: "Уксус из ахирантеса" },
{ doodadId: 485, className: "Куркума", name: "Куркума" },
{ doodadId: 486, className: "Полевичка изогнутая", name: "Полевичка изогнутая" },
{ doodadId: 487, className: "Олеандр душистый", name: "Олеандр душистый" },
{ doodadId: 489, className: "Мускатный орех", name: "Мускатный орех" },
{ doodadId: 491, className: "Воробейник краснокорневой", name: "Воробейник краснокорневой" },
{ doodadId: 492, className: "Горный женьшень", name: "Горный женьшень" },
{ doodadId: 494, className: "Сухой стручок гвоздики", name: "Сухой стручок гвоздики" },
{ doodadId: 495, className: "Чумиза", name: "Чумиза" },
{ doodadId: 499, className: "Маниока", name: "Маниока" },
{ doodadId: 501, className: "Кустики дикой земляники", name: "Кустики дикой земляники" },
{ doodadId: 505, className: "Гардения таитянская", name: "Гардения таитянская" },
{ doodadId: 506, className: "Ананас", name: "Ананас" },
{ doodadId: 507, className: "Страстоцвет", name: "Страстоцвет" },
{ doodadId: 508, className: "Можжевельник", name: "Можжевельник" },
{ doodadId: 509, className: "Флоссовый цветок", name: "Флоссовый цветок" },
{ doodadId: 510, className: "Плюмерия", name: "Плюмерия" },
{ doodadId: 512, className: "Грецкий орех", name: "Грецкий орех" },
{ doodadId: 516, className: "Черный перец", name: "Черный перец" },
{ doodadId: 518, className: "Овечка", name: "Овечка" },
{ doodadId: 519, className: "Корова", name: "Корова" },
{ doodadId: 520, className: "Наковальня", name: "Наковальня" },
{ doodadId: 521, className: "Манекен бронника", name: "Манекен бронника" },
{ doodadId: 522, className: "Манекен портного", name: "Манекен портного" },
{ doodadId: 525, className: "Поварской котел", name: "Поварской котел" },
{ doodadId: 532, className: "Верстак", name: "Верстак" },
{ doodadId: 557, className: "Плавильная печь", name: "Плавильная печь" },
{ doodadId: 558, className: "Плотницкий станок", name: "Плотницкий станок" },
{ doodadId: 559, className: "Станок каменотеса", name: "Станок каменотеса" },
{ doodadId: 560, className: "Кожевенный стол", name: "Кожевенный стол" },
{ doodadId: 561, className: "Ткацкий станок", name: "Ткацкий станок" },
{ doodadId: 564, className: "Стол декоратора", name: "Стол декоратора" },
{ doodadId: 566, className: "Станок для акхиума", name: "Станок для акхиума" },
{ doodadId: 567, className: "Емкость очистки красителя", name: "Емкость очистки красителя" },
{ doodadId: 568, className: "Алхимический стол", name: "Алхимический стол" },
{ doodadId: 660, className: "(test) тест на обычный эффект", name: "(test) тест на обычный эффект" },
{ doodadId: 661, className: "Фонарь", name: "Фонарь" },
{ doodadId: 664, className: "Дерево фей", name: "Дерево фей" },
{ doodadId: 667, className: "Плод", name: "Плод" },
{ doodadId: 668, className: "Странный саженец", name: "Странный саженец" },
{ doodadId: 669, className: "Освященная вода", name: "Освященная вода" },
{ doodadId: 670, className: "Пылающий кинжал", name: "Пылающий кинжал" },
{ doodadId: 671, className: "Алый мак", name: "Алый мак" },
{ doodadId: 672, className: "Статуя Нуона", name: "Статуя Нуона" },
{ doodadId: 673, className: "Тело Модиглиани", name: "Тело Модиглиани" },
{ doodadId: 674, className: "Сундук Братства Камня", name: "Сундук Братства Камня" },
{ doodadId: 675, className: "Могила", name: "Могила" },
{ doodadId: 676, className: "Кипящий котел", name: "Кипящий котел" },
{ doodadId: 677, className: "Колючая лоза", name: "Колючая лоза" },
{ doodadId: 678, className: "Кукла Дженни", name: "Кукла Дженни" },
{ doodadId: 679, className: "Шторм", name: "Шторм" },
{ doodadId: 680, className: "Место для осколка мегалита", name: "Место для осколка мегалита" },
{ doodadId: 681, className: "Камешек", name: "Камешек" },
{ doodadId: 682, className: "Мегалит", name: "Мегалит" },
{ doodadId: 683, className: "Куча земли", name: "Куча земли" },
{ doodadId: 684, className: "Земляная насыпь, где захоронено тело Кодына", name: "Земляная насыпь, где захоронено тело Кодына" },
{ doodadId: 685, className: "Сундук Багбата", name: "Сундук Багбата" },
{ doodadId: 687, className: "Кроличья нора", name: "Кроличья нора" },
{ doodadId: 688, className: "Куст, закрывающий вход в выработанную шахту", name: "Куст, закрывающий вход в выработанную шахту" },
{ doodadId: 689, className: "Жемчужная раковина", name: "Жемчужная раковина" },
{ doodadId: 691, className: "Заросли, скрывающие вход в пещеру", name: "Заросли, скрывающие вход в пещеру" },
{ doodadId: 692, className: "Сундук", name: "Сундук" },
{ doodadId: 693, className: "Место назначения бутылки", name: "Место назначения бутылки" },
{ doodadId: 694, className: "Веревка 50 м.", name: "Веревка 50 м." },
{ doodadId: 695, className: "Веревка 100 м. (не завершено)", name: "Веревка 100 м. (не завершено)" },
{ doodadId: 698, className: "Опасный сундук торговца Фирса", name: "Опасный сундук торговца Фирса" },
{ doodadId: 699, className: "Следы крови", name: "Следы крови" },
{ doodadId: 700, className: "Тюк с мукой", name: "Тюк с мукой" },
{ doodadId: 701, className: "Сундук с сокровищами чернобородых разбойников", name: "Сундук с сокровищами чернобородых разбойников" },
{ doodadId: 702, className: "Труп старателя", name: "Труп старателя" },
{ doodadId: 703, className: "Доска объявлений", name: "Доска объявлений" },
{ doodadId: 704, className: "След темной магии", name: "След темной магии" },
{ doodadId: 705, className: "Яйцо гарпии", name: "Яйцо гарпии" },
{ doodadId: 706, className: "Гроб", name: "Гроб" },
{ doodadId: 707, className: "Улей_не используется", name: "Улей_не используется" },
{ doodadId: 708, className: "Испражнения кабана", name: "Испражнения кабана" },
{ doodadId: 709, className: "Доска объявлений", name: "Доска объявлений" },
{ doodadId: 710, className: "Кости гнолла", name: "Кости гнолла" },
{ doodadId: 711, className: "Огромный кристалл", name: "Огромный кристалл" },
{ doodadId: 712, className: "Добыча кобольдов", name: "Добыча кобольдов" },
{ doodadId: 713, className: "Ошметки гниющей плоти", name: "Ошметки гниющей плоти" },
{ doodadId: 714, className: "Надгробная плита", name: "Надгробная плита" },
{ doodadId: 715, className: "Срубленная топором осина", name: "Срубленная топором осина" },
{ doodadId: 716, className: "Украденный стеклянные туфли", name: "Украденный стеклянные туфли" },
{ doodadId: 717, className: "Холст", name: "Холст" },
{ doodadId: 718, className: "Стертая ложка", name: "Стертая ложка" },
{ doodadId: 719, className: "Старый ковер", name: "Старый ковер" },
{ doodadId: 720, className: "Жаровня", name: "Жаровня" },
{ doodadId: 721, className: "Магическая сфера", name: "Магическая сфера" },
{ doodadId: 722, className: "Ящик письменного стола", name: "Ящик письменного стола" },
{ doodadId: 723, className: "Ящик со всякой всячиной", name: "Ящик со всякой всячиной" },
{ doodadId: 724, className: "Неизвестные останки", name: "Неизвестные останки" },
